id,arabic,translate_id,narator,hadith_scholar,source,hadith_no,level_of_hadith
10,كانَ النَّبيُّ ﷺ إذا خَرَجَ مِنَ الخَلاءِ، قال: غُفْرانَكَ,"“Nabi Shallallahu'alaihi Wasallam jika keluar dari kamar mandi, beliau mengucapkan: ghufronaka (aku memohon ampunan-Mu)”",Aisyah,Muhammad Nashiruddin Al Albani,Shahih At Tirmidzi,7,Shahih
11,مَن وقاهُ اللهُ شرَّ ما بينَ لِحييهِ ، وشرَّ ما بينَ رِجليهِ ، دخلَ الجنَّةَ,"“Siapa yang Allah jaga apa yang ada di antara dua rahangnya (yaitu lisan) dan yang ada di antara dua kakinya (yaitu kemaluan), maka ia akan masuk surga”",Abu Hurairah,Muhammad Nashiruddin Al Albani,Shahih At Targhib wat Tarhib,2413,Hasan shahih
12,مَن وقاهُ اللهُ شرَّ ما بينَ لِحييهِ ، وشرَّ ما بينَ رِجليهِ ، دخلَ الجنَّةَ,"“Siapa yang Allah jaga apa yang ada di antara dua rahangnya (yaitu lisan) dan yang ada di antara dua kakinya (yaitu kemaluan), maka ia akan masuk surga”",Abu Hurairah,Muhammad Nashiruddin Al Albani,Shahih At Targhib wat Tarhib,2857,Hasan shahih
13,مَن وقاهُ اللهُ شرَّ ما بينَ لِحييهِ ، وشرَّ ما بينَ رِجليهِ ، دخلَ الجنَّةَ,"“Siapa yang Allah jaga apa yang ada di antara dua rahangnya (yaitu lisan) dan yang ada di antara dua kakinya (yaitu kemaluan), maka ia akan masuk surga”",Abu Hurairah,Muhammad Nashiruddin Al Albani,Shahih At Tirmidzi,2409,Hasan shahih
14,مَن تَوَكَّلَ لي ما بيْنَ رِجْلَيْهِ وَما بيْنَ لَحْيَيْهِ، تَوَكَّلْتُ له بالجَنَّةِ,"“Siapa yang bisa menjamin untuk menjaga yang ada di antara dua rahangnya (yaitu lisan) dan yang ada di antara dua kakinya (yaitu kemaluan), maka aku jamin ia masuk surga”",Sahl bin Sa'ad As Sa'idi,Al Bukhari,Shahih Al Bukhari,6807,Shahih
15,مَن يَضْمَن لي ما بيْنَ لَحْيَيْهِ وما بيْنَ رِجْلَيْهِ، أضْمَنْ له الجَنَّةَ,"“Siapa yang bisa menjamin untuk menjaga yang ada di antara dua rahangnya (yaitu lisan) dan yang ada di antara dua kakinya (yaitu kemaluan), maka aku jamin ia masuk surga”",Sahl bin Sa'ad As Sa'idi,Al Bukhari,Shahih Al Bukhari,6474,Shahih
16,"أن شاةً ماتتْ, فقال النبيُّ صلَّى الله عليه وسلَّم: ألاَّ دفعتم إهابَها فاستمتعتم به","“Ada kambing yang mati. Lalu Nabi Shallallahu'alaihi Wasallam bersabda: ""Mengapa tidak kalian ambil kulitnya lalu kalian manfaatkan?"".”",Maimunah bintu Al Harits,Muhammad Nashiruddin Al Albani,Shahih An Nasa'i,4248,Shahih
17,أَنَّ مَيْمُونَةَ أَخْبَرَتْهُ أَنَّ دَاجِنَةً كَانَتْ لِبَعْضِ نِسَاءِ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَمَاتَتْ فَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَلَّا أَخَذْتُمْ إِهَابَهَا فَاسْتَمْتَعْتُمْ بِهِ,"“Bahwa Maimunah telah mengabarkan kepadanya bahwa hewan ternak milik sebagian istri Rasulullah shallallahu 'alaihi wasallam meninggal, maka Rasulullah shallallahu 'alaihi wasallam bersabda, ""Mengapa kalian tidak mengambil kulitnya, lalu kalian mengambil manfaatnya”",Abdullah bin Abbas,Muslim bin Hajjaj,Shahih Muslim,364,Shahih
18,أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَرَّ بِشَاةٍ مَطْرُوحَةٍ أُعْطِيَتْهَا مَوْلَاةٌ لِمَيْمُونَةَ مِنْ الصَّدَقَةِ فَقَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَلَّا أَخَذُوا إِهَابَهَا فَدَبَغُوهُ فَانْتَفَعُوا بِهِ,"“Rasulullah shallallahu 'alaihi wasallam pernah melewati kambing yang dibuang yang telah diberikan kepada budaknya Maimunah sebagai sedekah. Maka Nabi shallallahu 'alaihi wasallam bersabda, ""Mengapa kalian tidak mengambil kulitnya, lalu menyamaknya, sehingga kalian bisa memanfaatkannya""”",Abdullah bin Abbas,Muslim bin Hajjaj,Shahih Muslim,363a,Shahih
19,تُصُدِّقَ عَلَى مَوْلَاةٍ لِمَيْمُونَةَ بِشَاةٍ فَمَاتَتْ فَمَرَّ بِهَا رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَ هَلَّا أَخَذْتُمْ إِهَابَهَا فَدَبَغْتُمُوهُ فَانْتَفَعْتُمْ بِهِ فَقَالُوا إِنَّهَا مَيْتَةٌ فَقَالَ إِنَّمَا حَرُمَ أَكْلُهَا,"“Budak milik Maimunah radhiyallahu'anha pernah diberi sedekah seekor kambing, kemudian kambing tersebut mati. (Tidak berapa lama kemudian) Rasulullah Shallallahu'alaihiwasallam melalui tempat tersebut dan bersabda, ""Mengapa kamu tidak mengambil kulit bangkai tersebut dan menyamaknya agar kamu bisa memanfaatkannya?"" Mereka berkata, ""Ia sudah menjadi bangkai."" Beliau bersabda, ""Yang diharamkan hanyalah memakannya"".”",Abdullah bin Abbas,Muslim bin Hajjaj,Shahih Muslim,363,Shahih
20,إِذَا وَجَدَ أَحَدُكُمْ فِي بَطْنِهِ شَيْئًا فَأَشْكَلَ عَلَيْهِ أَخَرَجَ مِنْهُ شَيْءٌ أَمْ لَا فَلَا يَخْرُجَنَّ مِنْ الْمَسْجِدِ حَتَّى يَسْمَعَ صَوْتًا أَوْ يَجِدَ رِيحًا,"“Apabila salah seorang dari kalian merasakan sesuatu pada perutnya, lalu ia ragu akan hal tersebut, apakah keluar dari shalat atau tidak, maka janganlah dia keluar dari masjid hingga dia mendengar suara (kentut) atau mendapati baunya.”",Abu Hurairah,Muhammad Nashiruddin Al Albani,Shahih Jami' Ash Shaghir,822,Shahih
21,إِذَا وَجَدَ أَحَدُكُمْ فِي بَطْنِهِ شَيْئًا فَأَشْكَلَ عَلَيْهِ أَخَرَجَ مِنْهُ شَيْءٌ أَمْ لَا فَلَا يَخْرُجَنَّ مِنْ الْمَسْجِدِ حَتَّى يَسْمَعَ صَوْتًا أَوْ يَجِدَ رِيحًا,"“Apabila salah seorang dari kalian merasakan sesuatu pada perutnya, lalu ia ragu akan hal tersebut, apakah keluar dari shalat atau tidak, maka janganlah dia keluar dari masjid hingga dia mendengar suara (kentut) atau mendapati baunya.”",Abu Hurairah,Muslim bin Hajjaj,Shahih Muslim,362,Shahih
22,أنَّهُ شَكَا إلى رَسولِ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ الرَّجُلُ الذي يُخَيَّلُ إلَيْهِ أنَّه يَجِدُ الشَّيْءَ في الصَّلَاةِ؟ فَقالَ: لا يَنْفَتِلْ - أوْ لا يَنْصَرِفْ - حتَّى يَسْمع صَوْتًا أوْ يَجِدَ رِيحًا,"“Seorang laki-laki mengadu kepada Nabi Shallallahu'alaihiwasallam bahwa dia seolah-olah mendapati sesuatu (kentut) ketika shalatnya. Beliau bersabda, ""Dia tidak perlu membatalkan shalatnya sehingga dia mendengar suara atau mencium bau""”",Abdullah bin Zaid,Al Bukhari,Shahih Al Bukhari,137,Shahih
23,شُكِيَ إلى النبيِّ صَلَّى اللَّهُ عليه وسلَّمَ: الرَّجُلُ يُخَيَّلُ إلَيْهِ أنَّه يَجِدُ الشَّيْءَ في الصَّلَاةِ، قالَ: لا يَنْصَرِفُ حتَّى يَسْمع صَوْتًا، أوْ يَجِدَ رِيحًا,"“Seorang lelaki mengadukan kepada Nabi Shallallahu'alaihiwasallam. bahwa dia seolah-olah mendapati sesuatu (kentut) ketika shalatnya. Beliau bersabda, ""Dia tidak perlu membatalkan shalatnya sehingga dia mendengar suara atau mencium bau”",Abdullah bin Zaid,Muslim bin Hajjaj,Shahih Muslim,361,Shahih
24,قالَ رَسولُ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ وهو يُحَدِّثُ عن فَتْرَةِ الوَحْيِ، قالَ في حَديثِهِ: بَيْنا أنا أمْشِي سَمِعْتُ صَوْتًا مِنَ السَّماءِ، فَرَفَعْتُ بَصَرِي، فإذا المَلَكُ الذي جاءَنِي بحِراءٍ جالِسٌ علَى كُرْسِيٍّ بيْنَ السَّماءِ والأرْضِ، فَفَرِقْتُ منه، فَرَجَعْتُ، فَقُلتُ: زَمِّلُونِي زَمِّلُونِي، فَدَثَّرُوهُ، فأنْزَلَ اللَّهُ تَعالَى: (يا أيُّها المُدَّثِّرُ قُمْ فأنْذِرْ ورَبَّكَ فَكَبِّرْ وثِيابَكَ فَطَهِّرْ والرِّجْزَ فاهْجُرْ) - قالَ أبو سَلَمَةَ: وهي الأوْثانُ الَّتي كانَ أهْلُ الجاهِلِيَّةِ يَعْبُدُونَ - قالَ: ثُمَّ تَتابَعَ الوَحْيُ.,"“Rasulullah Shallallahu'alaihi Wasallam pernah bersabda tentang fatratul wahyi. Beliau bersabda dalam haditsnya: ""Ketika aku tengah berjalan, tiba-tiba aku mendengar suara yang berasal dari langit, maka aku pun mengangkat pandanganku ke arah langit, ternyata di atas terdapat Malaikat yang sebelumnya mendatangiku di gua Hira tengah duduk di atas kursi antara langit dan bumi. Aku merasa ketakutan hingga aku jatuh tersungkur ke tanah. Lalu aku pun segera menemui keluargaku seraya berkata, 'Selimutilah aku, selimutilah aku.' Maka keluargaku pun segera menyelimutiku. Akhirnya Allah Ta'ala menurunkan ayat: ""Wahai orang yang berselimut, bangkitlah, dan berilah peringatan. Dan Rabb-mu agungkanlah. Dan pakaianmu sucikanlah. Dan berhala-berhala itu, maka tinggalkanlah"" (QS. Al Mudatsir: 1-5). Abu Salamah mengatakan: ar rijz adalah berhala yang dahulu disembah oleh orang Jahiliyah. Kemudian setelah itu, wahyu terus-menerus turun.”",Jabir bin Abdillah,Al Bukhari,Shahih Al Bukhari,4954,Shahih
25,سَمِعْتُ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَهُوَ يُحَدِّثُ عَنْ فَتْرَةِ الْوَحْيِ فَقَالَ فِي حَدِيثِهِ فَبَيْنَا أَنَا أَمْشِي إِذْ سَمِعْتُ صَوْتًا مِنْ السَّمَاءِ فَرَفَعْتُ رَأْسِي فَإِذَا الْمَلَكُ الَّذِي جَاءَنِي بِحِرَاءٍ جَالِسٌ عَلَى كُرْسِيٍّ بَيْنَ السَّمَاءِ وَالْأَرْضِ فَجَئِثْتُ مِنْهُ رُعْبًا فَرَجَعْتُ فَقُلْتُ زَمِّلُونِي زَمِّلُونِي فَدَثَّرُونِي فَأَنْزَلَ اللَّهُ تَعَالَى { يَا أَيُّهَا الْمُدَّثِّرُ إِلَى وَالرِّجْزَ فَاهْجُرْ } قَبْلَ أَنْ تُفْرَضَ الصَّلَاةُ وَهِيَ الْأَوْثَانُ,"“Aku mendengar Nabi shallallahu 'alaihi wasallam bersabda menceritakan peristiwa fatratul wahyi (masa-masa ketika wahyu tidak turun). Nabi bersabda: ""Ketika aku tengah berjalan, tiba-tiba aku mendengar suara yang berasal dari langit, maka aku pun mengangkat pandanganku ke arah langit, ternyata di atas terdapat Malaikat yang sebelumnya mendatangiku di gua Hira tengah duduk di atas kursi antara langit dan bumi. Aku merasa ketakutan hingga aku jatuh tersungkur ke tanah. Lalu aku pun segera menemui keluargaku seraya berkata, 'Selimutilah aku, selimutilah aku.' Maka keluargaku pun segera menyelimutiku. Akhirnya Allah Ta'ala menurunkan ayat: ""Wahai orang yang berselimut, bangkitlah, dan berilah peringatan"" (QS. Al Mudatsir: 1) sampai ayat: ""Dan berhala-berhala itu, maka tinggalkanlah"" (QS. Al Mudatsir: 5). Sebelum perintah shalat diwajibkan. Dan ""ar rijz"" adalah berhala.”",Jabir bin Abdillah,Al Bukhari,Shahih Al Bukhari,4925,Shahih
26,أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كَانَ إِذَا دَخَلَ الْخَلَاءَ، قَالَ: اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبْثِ وَالْخَبَائِثِ,“Sesungguhnya Nabi Shallallahu'alaihi Wasallam jika masuk kamar mandi beliau berdoa: allahumma inni audzubika minal khubtsi wal khabaitsi [aku minta perlindungan-Mu dari keburukan dan dari setan]”,Anas bin Malik,Muhammad Nashiruddin Al Albani,Shahih At Tirmidzi,6,Shahih
